id,date,call_sum_hist,sms_sum_hist,circumplex.arousal_mean_hist,circumplex.arousal_std_hist,circumplex.valence_mean_hist,circumplex.valence_std_hist,screen_sum_hist,screen_std_hist,appCat.builtin_sum_hist,appCat.builtin_std_hist,appCat.communication_sum_hist,appCat.communication_std_hist,appCat.entertainment_sum_hist,appCat.entertainment_std_hist,appCat.finance_sum_hist,appCat.finance_std_hist,appCat.game_sum_hist,appCat.game_std_hist,appCat.office_sum_hist,appCat.office_std_hist,appCat.other_sum_hist,appCat.other_std_hist,appCat.social_sum_hist,appCat.social_std_hist,appCat.travel_sum_hist,appCat.travel_std_hist,appCat.unknown_sum_hist,appCat.unknown_std_hist,appCat.utilities_sum_hist,appCat.utilities_std_hist,appCat.weather_sum_hist,appCat.weather_std_hist,call_t,sms_t,circumplex.arousal_t,circumplex.valence_t,screen_t,appCat.builtin_t,appCat.communication_t,appCat.entertainment_t,appCat.finance_t,appCat.game_t,appCat.office_t,appCat.other_t,appCat.social_t,appCat.travel_t,appCat.unknown_t,appCat.utilities_t,appCat.weather_t,mood_output
AS14.33,2014-05-16,3.0,1.0,-0.11666666666666665,0.46248123085038695,0.31333333333333335,0.18797162906495582,1283.1507381174627,126.02061373664421,55.312754398307376,6.2874633277074885,292.3167642676961,35.700577081030396,363.9548975490196,36.03838512516137,0.0,,0.0,,0.0,,102.73587047619047,12.230838868622726,574.2107337567953,58.54867594670032,56.108139999999985,7.665861415557507,7.8366,,14.708359999999999,0.04041822361262344,0.0,,1.0,,0.4,1.0,76.15063333389121,16.385733333333334,47.08803076923072,45.69242857142857,,,,12.731166666666667,69.40557560975614,,,6.031650000000001,,1
AS14.25,2014-04-18,5.0,2.0,0.029999999999999992,0.3930648801406709,0.24000000000000005,0.2607680962081059,512.4311331375102,44.44302868376254,44.22525981335545,1.2541963653379806,321.85303139747305,16.508693090798772,281.539,,0.0,,72.6164,,79.70080333333334,10.607732020460011,91.21349752525254,4.7291939446769335,683.8735995970696,51.15407203161273,75.87688571428572,10.037864641378635,0.0,,0.0,,84.17110000000001,2.5427635050275526,1.0,1.0,-0.25,0.0,99.07269151736115,17.315040000000007,91.75267356321844,,,76.2662,,20.791818181818186,77.20631428571433,33.3494,,,,1
AS14.15,2014-02-24,4.0,5.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,,,,,,,,,,,,,,,,0
AS14.31,2014-04-08,5.0,2.0,0.4,0.31622776601683794,0.4800000000000001,0.3346640106136302,1190.920896218787,95.7038620033755,88.1169104935888,5.150163495606233,160.78750808823534,8.275875000339525,61.43350330675174,2.6988614872840975,95.1828,9.78690137070973,0.0,,48.8708,,100.85607777777777,6.575292129498651,140.18632,12.692299713091135,10.314858333333333,,0.0,,104.27081333333335,4.287556864296705,0.0,,1.0,,0.6,0.6,40.10949134473448,14.894982795698935,28.53645555555557,14.14126666666667,52.0106,,34.5,13.429599999999999,27.156672727272724,,,32.15713333333334,,1
AS14.20,2014-02-27,1.0,5.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,0
AS14.14,2014-03-06,5.0,5.0,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1.0,1.0,,,,,,,,,,,,,,,,0
AS14.07,2014-04-11,4.0,4.0,-0.47000000000000003,0.5333854141237836,0.48,0.3898717737923586,659.43305424444,29.30377729585827,67.19229195962139,4.665228649394046,182.61576327596188,9.416219892688964,1972.5290967532471,195.54744695944797,0.0,,0.0,,0.0,,116.16134142857129,9.7350202900577,767.3957428571429,74.08901562363233,26.30779999999998,,43.08778181818181,,151.6698,1.8451244348281826,0.0,,,1.0,0.5,-1.0,55.73866859844767,9.520399999999997,25.788796296296308,,,,,13.909333333333308,213.41580000000002,26.660879999999974,,,,0
AS14.12,2014-04-15,3.0,0.0,-0.04,0.4774934554525329,0.64,0.3847076812334269,340.331435233044,7.629820084166062,125.67808648472638,36.29592614817245,163.63008584958604,8.736664538943701,221.76317806173188,24.219362979985153,7.960466666666666,,54.379200000000004,,96.55879999999998,0.014707821048676056,60.657453333333336,2.6823210181797563,381.38535665223657,6.406546664158353,98.29539853479854,11.779931317855077,0.0,,14.549533333333333,0.39125687119750296,0.0,,1.0,,0.2,1.0,57.62603808925262,9.80269456066947,40.512223529411806,54.708079999999995,6.9766,,44.63989999999999,10.432366666666665,54.994209999999995,,,4.857000000000001,,1
AS14.32,2014-04-28,4.0,2.0,-0.175,0.23629078131263043,0.375,0.47871355387816905,621.761046128415,39.41473738602248,144.2062501960785,13.008439562878976,263.68829315660565,15.78996153258441,50.12213725886441,2.640715664269309,0.0,,0.0,,0.0,,69.96006414141414,9.065266037427971,468.4943333333334,44.255736957207645,150.08423333333334,3.968998181508122,0.0,,52.47891428571428,,0.0,,1.0,,0.25,0.25,115.10929999659145,63.416677777777785,67.31760571428573,74.43824477611933,,,,8.52945,,56.2817,,,,1
AS14.33,2014-05-24,2.0,1.0,-0.34,0.524616261873593,0.19,0.2073644135332772,1006.0007678214657,66.23036218608772,43.08932777252718,2.3546542451796193,272.9617023199021,24.86735989513076,659.7275199999999,57.09621381022303,0.0,,0.0,,0.0,,68.65188809523809,1.8043418860709113,658.9302383191583,55.61488070128444,0.0,,2.6108000000000002,,4.2949,,0.0,,,,-1.0,0.2,158.40470145197924,11.435262650602398,42.07198888888884,85.77397142857141,,,,14.061233333333334,104.98810566037736,,,,,1
